path,pages,font_count,text_len,issues
dist/packs/enseignants/4e_PACK_EVALUATIONS_CORRIGE.pdf,4,5,3339,
dist/packs/enseignants/4e_S1_PACK_ENSEIGNANT.pdf,14,13,14737,
dist/packs/enseignants/4e_S2_PACK_ENSEIGNANT.pdf,15,10,13379,
dist/packs/enseignants/4e_S3_PACK_ENSEIGNANT.pdf,14,10,12149,
dist/packs/enseignants/4e_S4_PACK_ENSEIGNANT.pdf,16,13,12957,
dist/packs/enseignants/4e_S5_PACK_ENSEIGNANT.pdf,12,10,9374,
dist/packs/nominatifs-prives/1ere_spe_Ahmad_Beldi_DOSSIER_ENSEIGNANT_CONFIDENTIEL.pdf,11,10,10063,
dist/packs/nominatifs-prives/1ere_spe_Ahmad_Beldi_PACK_TRAVAIL_PERSONNALISE.pdf,8,6,7674,
dist/packs/nominatifs-prives/1ere_spe_Donia_Khadhrani_DOSSIER_ENSEIGNANT_CONFIDENTIEL.pdf,11,11,10148,
dist/packs/nominatifs-prives/1ere_spe_Donia_Khadhrani_PACK_TRAVAIL_PERSONNALISE.pdf,8,7,7749,
dist/packs/nominatifs-prives/1ere_spe_Malek_Khadhrani_DOSSIER_ENSEIGNANT_CONFIDENTIEL.pdf,11,8,9980,
dist/packs/nominatifs-prives/1ere_spe_Malek_Khadhrani_PACK_TRAVAIL_PERSONNALISE.pdf,8,5,7646,
dist/packs/nominatifs-prives/2nde_Ahmed_Bakir_DOSSIER_ENSEIGNANT_CONFIDENTIEL.pdf,11,8,10412,
dist/packs/nominatifs-prives/2nde_Ahmed_Bakir_PACK_TRAVAIL_PERSONNALISE.pdf,8,5,7567,
dist/packs/nominatifs-prives/2nde_Noa_Maniaci_DOSSIER_ENSEIGNANT_CONFIDENTIEL.pdf,11,8,10606,
dist/packs/nominatifs-prives/2nde_Noa_Maniaci_PACK_TRAVAIL_PERSONNALISE.pdf,8,5,7739,
dist/packs/nominatifs-prives/3e_Amine_Mansouri_DOSSIER_ENSEIGNANT_CONFIDENTIEL.pdf,11,8,9761,
dist/packs/nominatifs-prives/3e_Amine_Mansouri_PACK_TRAVAIL_PERSONNALISE.pdf,8,5,7346,
dist/packs/nominatifs-prives/3e_Fares_Laajili_DOSSIER_ENSEIGNANT_CONFIDENTIEL.pdf,10,8,9204,
dist/packs/nominatifs-prives/3e_Fares_Laajili_PACK_TRAVAIL_PERSONNALISE.pdf,7,5,6886,
dist/packs/nominatifs-prives/3e_Sarah_Bargaoui_DOSSIER_ENSEIGNANT_CONFIDENTIEL.pdf,11,8,9591,
dist/packs/nominatifs-prives/3e_Sarah_Bargaoui_PACK_TRAVAIL_PERSONNALISE.pdf,8,5,7295,
dist/packs/nominatifs-prives/3e_Selim_Mansouri_DOSSIER_ENSEIGNANT_CONFIDENTIEL.pdf,11,8,9543,
dist/packs/nominatifs-prives/3e_Selim_Mansouri_PACK_TRAVAIL_PERSONNALISE.pdf,8,5,7241,
dist/packs/nominatifs-prives/4e_Fares_Darghouth_DOSSIER_ENSEIGNANT_CONFIDENTIEL.pdf,11,8,10691,
dist/packs/nominatifs-prives/4e_Fares_Darghouth_PACK_TRAVAIL_PERSONNALISE.pdf,8,5,7756,
dist/packs/nominatifs-prives/4e_Sinda_Chikhaoui_DOSSIER_ENSEIGNANT_CONFIDENTIEL.pdf,11,8,10792,
dist/packs/nominatifs-prives/4e_Sinda_Chikhaoui_PACK_TRAVAIL_PERSONNALISE.pdf,8,5,7739,
